pok_chapter,pok_section,pok_subsection,pok_detail,pok_subdetail,pok_extra,type,level,name,description,page,sequence
01 Knitting methods,,,,,,chapter,1,01 Knitting methods,01 Knitting methods,3,1
01 Knitting methods,Origins of names for knitting methods,,,,,section,2,Origins of names for knitting methods,"01 Knitting methods, Origins of names for knitting methods",4,2
01 Knitting methods,General information,,,,,section,2,General information,"01 Knitting methods, General information",4,3
01 Knitting methods,General information,Position of hands,,,,subsection,3,Position of hands,"01 Knitting methods, General information, Position of hands",4,4
01 Knitting methods,General information,Tensioning the yarn,,,,subsection,3,Tensioning the yarn,"01 Knitting methods, General information, Tensioning the yarn",5,5
01 Knitting methods,General information,Knitting direction,,,,subsection,3,Knitting direction,"01 Knitting methods, General information, Knitting direction",5,6
01 Knitting methods,General information,Stitch position,,,,subsection,3,Stitch position,"01 Knitting methods, General information, Stitch position",5,7
01 Knitting methods,Methods with yarn to right,,,,,section,2,Methods with yarn to right,"01 Knitting methods, Methods with yarn to right",5,8
01 Knitting methods,Methods with yarn to right,Right-handed method,,,,subsection,3,Right-handed method,"01 Knitting methods, Methods with yarn to right, Right-handed method",6,9
01 Knitting methods,Methods with yarn to right,Right-handed method,Learning to knit,,,detail,4,Learning to knit,"01 Knitting methods, Methods with yarn to right, Right-handed method, Learning to knit",6,10
01 Knitting methods,Methods with yarn to right,Right-handed method,Learning to knit,Holding the yarn and needles,,subdetail,5,Holding the yarn and needles,"01 Knitting methods, Methods with yarn to right, Right-handed method, Learning to knit, Holding the yarn and needles",6,11
01 Knitting methods,Methods with yarn to right,Right-handed method,Learning to knit,Forming the knit stitch,,subdetail,5,Forming the knit stitch,"01 Knitting methods, Methods with yarn to right, Right-handed method, Learning to knit, Forming the knit stitch",7,12
01 Knitting methods,Methods with yarn to right,Right-handed method,Learning to knit,Forming the knit stitch,The subtleties,extra,6,The subtleties,"01 Knitting methods, Methods with yarn to right, Right-handed method, Learning to knit, Forming the knit stitch, The subtleties",8,13
01 Knitting methods,Methods with yarn to right,Right-handed method,Learning to knit,Forming the purl stitch,,subdetail,5,Forming the purl stitch,"01 Knitting methods, Methods with yarn to right, Right-handed method, Learning to knit, Forming the purl stitch",8,14
01 Knitting methods,Methods with yarn to right,Right-handed method,Learning to knit,Common knitting errors,,subdetail,5,Common knitting errors,"01 Knitting methods, Methods with yarn to right, Right-handed method, Learning to knit, Common knitting errors",9,15
01 Knitting methods,Methods with yarn to right,Right-handed method,Learning to knit,Common knitting errors,Location of yarn,extra,6,Location of yarn,"01 Knitting methods, Methods with yarn to right, Right-handed method, Learning to knit, Common knitting errors, Location of yarn",9,16
01 Knitting methods,Methods with yarn to right,Right-handed method,Learning to knit,Common knitting errors,Dropped stitched,extra,6,Dropped stitched,"01 Knitting methods, Methods with yarn to right, Right-handed method, Learning to knit, Common knitting errors, Dropped stitched",9,17
01 Knitting methods,Methods with yarn to right,Right-handed method,Learning to knit,Common knitting errors,Split stitches,extra,6,Split stitches,"01 Knitting methods, Methods with yarn to right, Right-handed method, Learning to knit, Common knitting errors, Split stitches",9,18
01 Knitting methods,Methods with yarn to right,Right-finger methods,,,,subsection,3,Right-finger methods,"01 Knitting methods, Methods with yarn to right, Right-finger methods",9,19
01 Knitting methods,Methods with yarn to right,Right-finger methods,Right-finger knit and purl,,,detail,4,Right-finger knit and purl,"01 Knitting methods, Methods with yarn to right, Right-finger methods, Right-finger knit and purl",10,20
01 Knitting methods,Methods with yarn to right,Right-finger methods,Right-finger knit and purl,Common problems,,subdetail,5,Common problems,"01 Knitting methods, Methods with yarn to right, Right-finger methods, Right-finger knit and purl, Common problems",10,21
01 Knitting methods,Methods with yarn to right,Right-finger methods,Supported-needle methods,,,detail,4,Supported-needle methods,"01 Knitting methods, Methods with yarn to right, Right-finger methods, Supported-needle methods",10,22
